"Scenario","p","q","truth.delta.eos.means","truth.delta.AUC","N","rho","power.eos.means","power.AUC"
3,0.6,0.62,0.39,1.785,500,0.15,0.1442,0.242
4,0.6,0.62,0.585,2.677,500,0.15,0.2444,0.436
5,0.6,0.62,0.78,3.57,500,0.15,0.3554,0.623
6,0.6,0.62,0.975,4.463,500,0.15,0.4722,0.7706
7,0.6,0.62,1.17,5.355,500,0.15,0.5842,0.8724
8,0.6,0.62,1.365,6.248,500,0.15,0.6736,0.9402
9,0.6,0.62,1.56,7.14,500,0.15,0.7566,0.9722
10,0.6,0.62,1.755,8.033,500,0.15,0.8186,0.9868
1,0.6,0.62,0,0,550,0.15,0.0518,0.0544
2,0.6,0.62,0.195,0.892,550,0.15,0.0812,0.1076
3,0.6,0.62,0.39,1.785,550,0.15,0.1524,0.2506
4,0.6,0.62,0.585,2.677,550,0.15,0.2588,0.4614
5,0.6,0.62,0.78,3.57,550,0.15,0.3934,0.6596
6,0.6,0.62,0.975,4.463,550,0.15,0.5184,0.8182
7,0.6,0.62,1.17,5.355,550,0.15,0.6314,0.9074
8,0.6,0.62,1.365,6.248,550,0.15,0.723,0.9542
9,0.6,0.62,1.56,7.14,550,0.15,0.7972,0.9802
10,0.6,0.62,1.755,8.033,550,0.15,0.8556,0.9936
1,0.6,0.62,0,0,600,0.15,0.053,0.0472
2,0.6,0.62,0.195,0.892,600,0.15,0.0826,0.1076
3,0.6,0.62,0.39,1.785,600,0.15,0.1598,0.2774
4,0.6,0.62,0.585,2.677,600,0.15,0.2762,0.4898
5,0.6,0.62,0.78,3.57,600,0.15,0.4106,0.6978
6,0.6,0.62,0.975,4.463,600,0.15,0.5432,0.8466
7,0.6,0.62,1.17,5.355,600,0.15,0.6598,0.9322
8,0.6,0.62,1.365,6.248,600,0.15,0.7584,0.9744
9,0.6,0.62,1.56,7.14,600,0.15,0.8338,0.9914
10,0.6,0.62,1.755,8.033,600,0.15,0.893,0.9966
