"Scenario","p","q","truth.delta.eos.means","truth.delta.AUC","N","rho","power.eos.means","power.AUC"
1,0.6,0.62,0,0,100,0.55,0.0506,0.0612
2,0.6,0.62,0.195,0.892,100,0.55,0.0558,0.0674
3,0.6,0.62,0.39,1.785,100,0.55,0.0656,0.0872
4,0.6,0.62,0.585,2.677,100,0.55,0.076,0.1076
5,0.6,0.62,0.78,3.57,100,0.55,0.094,0.1342
6,0.6,0.62,0.975,4.463,100,0.55,0.1174,0.1668
7,0.6,0.62,1.17,5.355,100,0.55,0.1396,0.2036
8,0.6,0.62,1.365,6.248,100,0.55,0.164,0.2384
9,0.6,0.62,1.56,7.14,100,0.55,0.1844,0.273
10,0.6,0.62,1.755,8.033,100,0.55,0.21,0.3148
1,0.6,0.62,0,0,150,0.55,0.0486,0.059
2,0.6,0.62,0.195,0.892,150,0.55,0.0574,0.064
3,0.6,0.62,0.39,1.785,150,0.55,0.077,0.094
4,0.6,0.62,0.585,2.677,150,0.55,0.1006,0.133
5,0.6,0.62,0.78,3.57,150,0.55,0.1316,0.1778
6,0.6,0.62,0.975,4.463,150,0.55,0.1636,0.2314
7,0.6,0.62,1.17,5.355,150,0.55,0.1964,0.284
8,0.6,0.62,1.365,6.248,150,0.55,0.2306,0.338
9,0.6,0.62,1.56,7.14,150,0.55,0.269,0.3954
10,0.6,0.62,1.755,8.033,150,0.55,0.3082,0.4484
1,0.6,0.62,0,0,200,0.55,0.0506,0.0568
2,0.6,0.62,0.195,0.892,200,0.55,0.0616,0.072
3,0.6,0.62,0.39,1.785,200,0.55,0.088,0.1078
4,0.6,0.62,0.585,2.677,200,0.55,0.12,0.1564
5,0.6,0.62,0.78,3.57,200,0.55,0.1608,0.213
6,0.6,0.62,0.975,4.463,200,0.55,0.2072,0.285
7,0.6,0.62,1.17,5.355,200,0.55,0.2564,0.3524
8,0.6,0.62,1.365,6.248,200,0.55,0.3002,0.423
9,0.6,0.62,1.56,7.14,200,0.55,0.3566,0.4984
10,0.6,0.62,1.755,8.033,200,0.55,0.4044,0.5614
1,0.6,0.62,0,0,250,0.55,0.0494,0.0586
2,0.6,0.62,0.195,0.892,250,0.55,0.0654,0.0748
3,0.6,0.62,0.39,1.785,250,0.55,0.096,0.1202
4,0.6,0.62,0.585,2.677,250,0.55,0.1414,0.1788
5,0.6,0.62,0.78,3.57,250,0.55,0.198,0.2682
6,0.6,0.62,0.975,4.463,250,0.55,0.2546,0.357
7,0.6,0.62,1.17,5.355,250,0.55,0.3192,0.444
8,0.6,0.62,1.365,6.248,250,0.55,0.3872,0.5282
9,0.6,0.62,1.56,7.14,250,0.55,0.4434,0.6036
