"Scenario","p","q","truth.delta.eos.means","truth.delta.AUC","N","rho","power.eos.means","power.AUC"
10,0.6,0.62,1.755,8.033,250,0.55,0.4982,0.676
1,0.6,0.62,0,0,300,0.55,0.0482,0.0564
2,0.6,0.62,0.195,0.892,300,0.55,0.0646,0.0766
3,0.6,0.62,0.39,1.785,300,0.55,0.1016,0.1342
4,0.6,0.62,0.585,2.677,300,0.55,0.162,0.2112
5,0.6,0.62,0.78,3.57,300,0.55,0.2344,0.304
6,0.6,0.62,0.975,4.463,300,0.55,0.3054,0.4068
7,0.6,0.62,1.17,5.355,300,0.55,0.3884,0.508
8,0.6,0.62,1.365,6.248,300,0.55,0.465,0.5974
9,0.6,0.62,1.56,7.14,300,0.55,0.534,0.6832
10,0.6,0.62,1.755,8.033,300,0.55,0.5958,0.7548
1,0.6,0.62,0,0,350,0.55,0.0504,0.0552
2,0.6,0.62,0.195,0.892,350,0.55,0.0692,0.0812
3,0.6,0.62,0.39,1.785,350,0.55,0.1128,0.1414
4,0.6,0.62,0.585,2.677,350,0.55,0.1748,0.2272
5,0.6,0.62,0.78,3.57,350,0.55,0.2486,0.3288
6,0.6,0.62,0.975,4.463,350,0.55,0.3398,0.4442
7,0.6,0.62,1.17,5.355,350,0.55,0.4214,0.554
8,0.6,0.62,1.365,6.248,350,0.55,0.503,0.6544
9,0.6,0.62,1.56,7.14,350,0.55,0.5842,0.7368
10,0.6,0.62,1.755,8.033,350,0.55,0.6558,0.8108
1,0.6,0.62,0,0,400,0.55,0.051,0.0526
2,0.6,0.62,0.195,0.892,400,0.55,0.0694,0.0808
3,0.6,0.62,0.39,1.785,400,0.55,0.122,0.1474
4,0.6,0.62,0.585,2.677,400,0.55,0.1956,0.2538
5,0.6,0.62,0.78,3.57,400,0.55,0.2874,0.3662
6,0.6,0.62,0.975,4.463,400,0.55,0.39,0.496
7,0.6,0.62,1.17,5.355,400,0.55,0.4884,0.6112
8,0.6,0.62,1.365,6.248,400,0.55,0.577,0.7192
9,0.6,0.62,1.56,7.14,400,0.55,0.6604,0.8052
10,0.6,0.62,1.755,8.033,400,0.55,0.7334,0.8616
1,0.6,0.62,0,0,450,0.55,0.05,0.0528
2,0.6,0.62,0.195,0.892,450,0.55,0.075,0.0856
3,0.6,0.62,0.39,1.785,450,0.55,0.1382,0.1682
4,0.6,0.62,0.585,2.677,450,0.55,0.2272,0.2872
5,0.6,0.62,0.78,3.57,450,0.55,0.328,0.4318
6,0.6,0.62,0.975,4.463,450,0.55,0.438,0.5606
7,0.6,0.62,1.17,5.355,450,0.55,0.539,0.675
8,0.6,0.62,1.365,6.248,450,0.55,0.6272,0.7724
9,0.6,0.62,1.56,7.14,450,0.55,0.7096,0.8474
10,0.6,0.62,1.755,8.033,450,0.55,0.7848,0.9002
1,0.6,0.62,0,0,500,0.55,0.0484,0.0542
2,0.6,0.62,0.195,0.892,500,0.55,0.0726,0.0828
3,0.6,0.62,0.39,1.785,500,0.55,0.1372,0.1784
4,0.6,0.62,0.585,2.677,500,0.55,0.2364,0.3128
5,0.6,0.62,0.78,3.57,500,0.55,0.353,0.4576
6,0.6,0.62,0.975,4.463,500,0.55,0.4696,0.6062
7,0.6,0.62,1.17,5.355,500,0.55,0.5846,0.7234
8,0.6,0.62,1.365,6.248,500,0.55,0.6802,0.8138
9,0.6,0.62,1.56,7.14,500,0.55,0.7612,0.8842
10,0.6,0.62,1.755,8.033,500,0.55,0.8276,0.927
1,0.6,0.62,0,0,550,0.55,0.054,0.0554
2,0.6,0.62,0.195,0.892,550,0.55,0.0812,0.0922
3,0.6,0.62,0.39,1.785,550,0.55,0.1546,0.1922
4,0.6,0.62,0.585,2.677,550,0.55,0.2624,0.3376
5,0.6,0.62,0.78,3.57,550,0.55,0.3894,0.5018
6,0.6,0.62,0.975,4.463,550,0.55,0.5118,0.647
7,0.6,0.62,1.17,5.355,550,0.55,0.626,0.7624
8,0.6,0.62,1.365,6.248,550,0.55,0.7254,0.8524
9,0.6,0.62,1.56,7.14,550,0.55,0.7936,0.9152
10,0.6,0.62,1.755,8.033,550,0.55,0.8566,0.949
1,0.6,0.62,0,0,600,0.55,0.0478,0.0488
2,0.6,0.62,0.195,0.892,600,0.55,0.0814,0.0922
3,0.6,0.62,0.39,1.785,600,0.55,0.1674,0.1982
4,0.6,0.62,0.585,2.677,600,0.55,0.28,0.3562
5,0.6,0.62,0.78,3.57,600,0.55,0.4114,0.5294
6,0.6,0.62,0.975,4.463,600,0.55,0.546,0.6882
7,0.6,0.62,1.17,5.355,600,0.55,0.666,0.8044
8,0.6,0.62,1.365,6.248,600,0.55,0.7668,0.8878
9,0.6,0.62,1.56,7.14,600,0.55,0.844,0.9386
10,0.6,0.62,1.755,8.033,600,0.55,0.8964,0.9678
