"Scenario","p","q","truth.delta.eos.means","truth.delta.AUC","N","rho","power.eos.means","power.AUC"
1,0.6,0.62,0,0,100,0.8,0.0558,0.0656
2,0.6,0.62,0.195,0.892,100,0.8,0.0584,0.0694
3,0.6,0.62,0.39,1.785,100,0.8,0.0696,0.0866
4,0.6,0.62,0.585,2.677,100,0.8,0.0812,0.1044
5,0.6,0.62,0.78,3.57,100,0.8,0.105,0.128
6,0.6,0.62,0.975,4.463,100,0.8,0.1278,0.1604
7,0.6,0.62,1.17,5.355,100,0.8,0.151,0.1872
8,0.6,0.62,1.365,6.248,100,0.8,0.1784,0.2224
9,0.6,0.62,1.56,7.14,100,0.8,0.2064,0.255
10,0.6,0.62,1.755,8.033,100,0.8,0.2336,0.283
1,0.6,0.62,0,0,150,0.8,0.0524,0.0626
2,0.6,0.62,0.195,0.892,150,0.8,0.065,0.0734
3,0.6,0.62,0.39,1.785,150,0.8,0.0826,0.0944
4,0.6,0.62,0.585,2.677,150,0.8,0.1086,0.1302
5,0.6,0.62,0.78,3.57,150,0.8,0.1438,0.1792
6,0.6,0.62,0.975,4.463,150,0.8,0.1758,0.223
7,0.6,0.62,1.17,5.355,150,0.8,0.2156,0.2718
8,0.6,0.62,1.365,6.248,150,0.8,0.2554,0.328
9,0.6,0.62,1.56,7.14,150,0.8,0.2952,0.373
10,0.6,0.62,1.755,8.033,150,0.8,0.3364,0.4208
1,0.6,0.62,0,0,200,0.8,0.0506,0.061
2,0.6,0.62,0.195,0.892,200,0.8,0.0608,0.0762
3,0.6,0.62,0.39,1.785,200,0.8,0.0958,0.1086
4,0.6,0.62,0.585,2.677,200,0.8,0.1326,0.1566
5,0.6,0.62,0.78,3.57,200,0.8,0.1798,0.2102
6,0.6,0.62,0.975,4.463,200,0.8,0.228,0.2756
7,0.6,0.62,1.17,5.355,200,0.8,0.281,0.341
8,0.6,0.62,1.365,6.248,200,0.8,0.3314,0.4078
9,0.6,0.62,1.56,7.14,200,0.8,0.3882,0.4778
10,0.6,0.62,1.755,8.033,200,0.8,0.4458,0.5354
1,0.6,0.62,0,0,250,0.8,0.0514,0.0604
2,0.6,0.62,0.195,0.892,250,0.8,0.0692,0.0764
3,0.6,0.62,0.39,1.785,250,0.8,0.1032,0.1246
4,0.6,0.62,0.585,2.677,250,0.8,0.1584,0.1848
5,0.6,0.62,0.78,3.57,250,0.8,0.2164,0.264
6,0.6,0.62,0.975,4.463,250,0.8,0.284,0.3434
7,0.6,0.62,1.17,5.355,250,0.8,0.3602,0.4288
8,0.6,0.62,1.365,6.248,250,0.8,0.4282,0.5116
9,0.6,0.62,1.56,7.14,250,0.8,0.4956,0.587
10,0.6,0.62,1.755,8.033,250,0.8,0.5612,0.653
1,0.6,0.62,0,0,300,0.8,0.0502,0.0598
2,0.6,0.62,0.195,0.892,300,0.8,0.0686,0.0794
3,0.6,0.62,0.39,1.785,300,0.8,0.1114,0.1344
4,0.6,0.62,0.585,2.677,300,0.8,0.1766,0.2076
5,0.6,0.62,0.78,3.57,300,0.8,0.2568,0.305
6,0.6,0.62,0.975,4.463,300,0.8,0.3372,0.403
7,0.6,0.62,1.17,5.355,300,0.8,0.423,0.5038
8,0.6,0.62,1.365,6.248,300,0.8,0.5082,0.5898
9,0.6,0.62,1.56,7.14,300,0.8,0.575,0.6732
10,0.6,0.62,1.755,8.033,300,0.8,0.651,0.7426
1,0.6,0.62,0,0,350,0.8,0.0482,0.0588
2,0.6,0.62,0.195,0.892,350,0.8,0.0704,0.082
3,0.6,0.62,0.39,1.785,350,0.8,0.125,0.141
4,0.6,0.62,0.585,2.677,350,0.8,0.1936,0.222
5,0.6,0.62,0.78,3.57,350,0.8,0.273,0.3292
6,0.6,0.62,0.975,4.463,350,0.8,0.3694,0.4466
7,0.6,0.62,1.17,5.355,350,0.8,0.458,0.5488
8,0.6,0.62,1.365,6.248,350,0.8,0.5548,0.6416
9,0.6,0.62,1.56,7.14,350,0.8,0.6334,0.7252
10,0.6,0.62,1.755,8.033,350,0.8,0.6988,0.7894
1,0.6,0.62,0,0,400,0.8,0.0518,0.0574
2,0.6,0.62,0.195,0.892,400,0.8,0.0738,0.0852
3,0.6,0.62,0.39,1.785,400,0.8,0.1294,0.1456
4,0.6,0.62,0.585,2.677,400,0.8,0.2134,0.25
5,0.6,0.62,0.78,3.57,400,0.8,0.3162,0.367
6,0.6,0.62,0.975,4.463,400,0.8,0.4258,0.492
7,0.6,0.62,1.17,5.355,400,0.8,0.53,0.604
8,0.6,0.62,1.365,6.248,400,0.8,0.624,0.708
9,0.6,0.62,1.56,7.14,400,0.8,0.706,0.7894
10,0.6,0.62,1.755,8.033,400,0.8,0.7696,0.8494
1,0.6,0.62,0,0,450,0.8,0.048,0.054
2,0.6,0.62,0.195,0.892,450,0.8,0.0776,0.0898
3,0.6,0.62,0.39,1.785,450,0.8,0.1486,0.1708
4,0.6,0.62,0.585,2.677,450,0.8,0.2446,0.29
5,0.6,0.62,0.78,3.57,450,0.8,0.3644,0.4328
6,0.6,0.62,0.975,4.463,450,0.8,0.48,0.5534
7,0.6,0.62,1.17,5.355,450,0.8,0.5852,0.6648
8,0.6,0.62,1.365,6.248,450,0.8,0.6784,0.7612
9,0.6,0.62,1.56,7.14,450,0.8,0.7616,0.8376
10,0.6,0.62,1.755,8.033,450,0.8,0.8236,0.8914
1,0.6,0.62,0,0,500,0.8,0.051,0.054
2,0.6,0.62,0.195,0.892,500,0.8,0.0744,0.0838
3,0.6,0.62,0.39,1.785,500,0.8,0.1484,0.1784
4,0.6,0.62,0.585,2.677,500,0.8,0.2554,0.3096
5,0.6,0.62,0.78,3.57,500,0.8,0.3832,0.4564
6,0.6,0.62,0.975,4.463,500,0.8,0.5162,0.5946
7,0.6,0.62,1.17,5.355,500,0.8,0.6268,0.7162
8,0.6,0.62,1.365,6.248,500,0.8,0.73,0.8158
9,0.6,0.62,1.56,7.14,500,0.8,0.8094,0.8762
10,0.6,0.62,1.755,8.033,500,0.8,0.8658,0.9192
1,0.6,0.62,0,0,550,0.8,0.054,0.0544
2,0.6,0.62,0.195,0.892,550,0.8,0.0868,0.0942
3,0.6,0.62,0.39,1.785,550,0.8,0.168,0.1956
4,0.6,0.62,0.585,2.677,550,0.8,0.2852,0.3442
5,0.6,0.62,0.78,3.57,550,0.8,0.4246,0.4974
6,0.6,0.62,0.975,4.463,550,0.8,0.5518,0.638
7,0.6,0.62,1.17,5.355,550,0.8,0.676,0.761
8,0.6,0.62,1.365,6.248,550,0.8,0.7684,0.8526
9,0.6,0.62,1.56,7.14,550,0.8,0.8384,0.9104
10,0.6,0.62,1.755,8.033,550,0.8,0.8932,0.9446
1,0.6,0.62,0,0,600,0.8,0.0482,0.0484
2,0.6,0.62,0.195,0.892,600,0.8,0.0876,0.097
3,0.6,0.62,0.39,1.785,600,0.8,0.1818,0.2024
4,0.6,0.62,0.585,2.677,600,0.8,0.3124,0.3638
5,0.6,0.62,0.78,3.57,600,0.8,0.4542,0.5304
6,0.6,0.62,0.975,4.463,600,0.8,0.5938,0.6812
7,0.6,0.62,1.17,5.355,600,0.8,0.7168,0.798
8,0.6,0.62,1.365,6.248,600,0.8,0.8102,0.8814
9,0.6,0.62,1.56,7.14,600,0.8,0.8786,0.9352
10,0.6,0.62,1.755,8.033,600,0.8,0.9242,0.9644
