"datagen.params.N","datagen.params.rho","delta","pair"
1002,0.2,0.0772858618498253,1
1002,0.2,0.257965176266572,2
1002,0.2,0.311346898298584,3
1002,0.2,0.243800843633385,4
1002,0.2,0.289141060808739,5
1002,0.2,0.04739324945105,6
