"datagen.params.N","datagen.params.rho","delta","pair"
1002,0.2,0.0700468379302404,1
1002,0.2,0.421423126854251,2
1002,0.2,0.40990388437337,3
1002,0.2,0.444502478465686,4
1002,0.2,0.436022434108794,5
1002,0.2,0.0466141287815102,6
