"datagen.params.N","datagen.params.rho","power","pair"
126,0.2,0.588709677419355,2
189,0.2,0.76976976976977,2
191,0.2,0.793793793793794,2
192,0.2,0.802802802802803,2
193,0.2,0.812812812812813,2
198,0.2,0.826479438314945,2
206,0.2,0.854,2
220,0.2,0.875,2
251,0.2,0.90990990990991,2
502,0.2,0.998998998998999,2
1002,0.2,1,2
