"datagen.params.N","datagen.params.rho","power","pair"
502,0.2,0.790790790790791,2
533,0.2,0.792792792792793,2
541,0.2,0.796,2
543,0.2,0.796,2
544,0.2,0.804804804804805,2
545,0.2,0.813,2
550,0.2,0.82,2
565,0.2,0.823,2
627,0.2,0.883883883883884,2
751,0.2,0.946,2
1002,0.2,0.978978978978979,2
