seq,time.1,time.2,time.3,time.4,time.5,time.6
plus.r,1.885416667,3.770833334,2.048484849,1.6,1.793939394,0.581818182
plus.nr.plus,1.885416667,3.770833334,4.742857143,5.771428571,4.4,3.642857143
plus.nr.minus,1.885416667,3.770833334,2.6,2.5,2.75,3.4375
minus.r,1.885416667,3,4,4.73015873,3.984126984,3.1
minus.nr.plus,1.885416667,3,13.93152,16.36708571,17.12571429,13.71428571
minus.nr.minus,1.885416667,3,7.844210525,12.88421053,10.8631579,10.73684211
