"datagen.params.rho","tau.min","tau.max","elapsed.secs"
0,-0.00120310662052058,0.00191651985774239,148.408104658127
0.05,0.0305768249131972,0.0360135714256239,148.819080114365
0.1,0.0635217419479015,0.0724042647276962,149.624783039093
0.15,0.0983276119310941,0.110456352628044,149.09629201889
0.2,0.134865905751795,0.149901675813111,151.506451368332
0.25,0.173198191760284,0.190952966429814,151.159240245819
0.3,0.213455128603454,0.233429400055843,151.578952074051
0.35,0.255591189586349,0.277399505781721,150.698199987411
0.4,0.299655606586356,0.323084733982492,148.988216876984
0.45,0.345747474252868,0.370085222541033,149.656067848206
0.5,0.393854514983833,0.418764743585051,151.528964757919
0.55,0.444097542272123,0.469127293217232,150.652505874634
0.6,0.496369953350911,0.521126105812929,150.239230632782
