"N","rho","power.diff.eos.means","power.diff.AUC","elapsed.secs"
100,0.2,0.219263115738887,0.397276732078494,282.101664543152
150,0.2,0.320664132826565,0.525705141028206,336.507256984711
200,0.2,0.437262357414449,0.648989393636182,397.155148267746
250,0.2,0.534,0.737,452.924875497818
300,0.2,0.610644257703081,0.810124049619848,509.780294656754
350,0.2,0.693616169701821,0.861116670002001,567.787214756012
400,0.2,0.7632,0.9154,626.841943264008
450,0.2,0.7952,0.9328,684.709410667419
500,0.2,0.8368,0.9536,747.683245420456
550,0.2,0.87735094037615,0.9671868747499,793.872881889343
100,0.4,0.220732439463678,0.328196918150891,280.367422819138
150,0.4,0.319727891156463,0.434573829531813,334.623847007751
200,0.4,0.438262957774665,0.566539923954373,393.877451181412
250,0.4,0.5286,0.638,452.756330966949
300,0.4,0.6112,0.716,513.866365194321
350,0.4,0.694938987797559,0.777955591118224,573.208352088928
400,0.4,0.7646,0.8458,622.289825677872
450,0.4,0.793,0.8744,683.445176839828
500,0.4,0.8412,0.9088,745.15532708168
550,0.4,0.878175635127025,0.925785157031406,798.261099815369
100,0.6,0.221332799679808,0.273964378627176,286.459291934967
150,0.6,0.315589353612167,0.361416850110066,337.026610851288
200,0.6,0.437750200160128,0.488791032826261,396.761004686356
250,0.6,0.525905181036207,0.549909981996399,455.907145738602
300,0.6,0.611722344468894,0.625525105021004,507.47188949585
350,0.6,0.691414848909346,0.697018210926556,572.26055765152
400,0.6,0.765353070614123,0.771754350870174,619.125524520874
450,0.6,0.797519007603041,0.805522208883553,687.682403326035
500,0.6,0.8388,0.8492,743.929136514664
550,0.6,0.8764,0.8768,811.015424251556
