"N","rho","power.diff.eos.means","power.diff.AUC","elapsed.secs"
100,0.2,0.160024033647106,0.2791908672141,281.990127325058
150,0.2,0.228645729145829,0.369673934786957,336.131004571915
200,0.2,0.318391034620772,0.47828697218331,394.137860059738
250,0.2,0.38,0.5352,452.578452110291
300,0.2,0.444866920152091,0.609765859515709,509.63176035881
350,0.2,0.522818254603683,0.677341873498799,568.806774139404
400,0.2,0.584,0.7478,627.294445037842
450,0.2,0.621,0.7722,688.923859834671
500,0.2,0.671,0.8268,752.421733617783
550,0.2,0.723289315726291,0.85594237695078,803.184955596924
100,0.4,0.163763763763764,0.234834834834835,280.2436876297
150,0.4,0.225335201120672,0.303582149289574,335.692269563675
200,0.4,0.314188513107865,0.406243746247749,395.144848108292
250,0.4,0.379,0.4526,458.606858968735
300,0.4,0.4466,0.5196,506.786366939545
350,0.4,0.525505101020204,0.588917783556711,565.894433498383
400,0.4,0.5846,0.6594,620.877451181412
450,0.4,0.6206,0.683,681.354627847672
500,0.4,0.6728,0.7492,749.39541220665
550,0.4,0.724144828965793,0.778155631126225,799.362010240555
100,0.6,0.167133706965572,0.197758206565252,284.040223360062
150,0.6,0.223133880328197,0.250750450270162,338.330167531967
200,0.6,0.309923969587835,0.341736694677871,393.677306652069
250,0.6,0.378875775155031,0.372074414882977,450.279868841171
300,0.6,0.443488697739548,0.444888977795559,504.487229347229
350,0.6,0.522913748248949,0.508304982989794,568.493415594101
400,0.6,0.58251650330066,0.575715143028606,622.33509683609
450,0.6,0.619447779111645,0.601840736294518,682.134875059128
500,0.6,0.6724,0.6634,747.553864717484
550,0.6,0.7322,0.6912,797.415434598923
