seq,time.1,time.2,time.3,time.4,time.5,time.6
plus.r,0.5,1.95,2,3,2.95,1.95
plus.nr.plus,0.5,1.95,2,3,2.95,1.95
plus.nr.minus,0.5,1.95,2,3,2.95,1.95
minus.r,0.5,0.7,0.75,1.75,1.7,0.7
minus.nr.plus,0.5,0.7,0.75,1.75,1.7,0.7
minus.nr.minus,0.5,0.7,0.75,1.75,1.7,0.7
