"N","rho","power.diff.eos.means","power.diff.AUC","elapsed.secs"
100,0.2,0.105705705705706,0.175775775775776,279.628333568573
150,0.2,0.141656662665066,0.201280512204882,335.395963191986
200,0.2,0.183947157726181,0.260208166533227,398.276937484741
250,0.2,0.2284,0.274,456.506375789642
300,0.2,0.2676,0.3182,509.051903486252
350,0.2,0.320720720720721,0.364364364364364,571.321359872818
400,0.2,0.3478,0.418,624.372138261795
450,0.2,0.375075015003001,0.442888577715543,686.044329166412
500,0.2,0.411,0.4934,746.021013259888
550,0.2,0.4632,0.5188,801.531118631363
100,0.4,0.107171474358974,0.154447115384615,281.126827478409
150,0.4,0.146116893514812,0.17173738991193,335.659311532974
200,0.4,0.187312387432459,0.222533520112067,397.74773645401
250,0.4,0.2286,0.231,454.694254636765
300,0.4,0.264052810562112,0.266853370674135,504.976204156876
350,0.4,0.318991394836902,0.311586952171303,573.913823843002
400,0.4,0.3508,0.353,620.807696819305
450,0.4,0.376675335067013,0.377675535107021,683.646232128143
500,0.4,0.4124824964993,0.415483096619324,742.769281387329
550,0.4,0.462585034013605,0.437174869947979,802.599272251129
100,0.6,0.113267960776466,0.145487292375425,279.503213167191
150,0.6,0.148689213528117,0.1550930558335,334.47444486618
200,0.6,0.193916349809886,0.205923554132479,398.115907907486
250,0.6,0.231,0.2152,458.433366060257
300,0.6,0.269653930786157,0.250850170034007,509.838037967682
350,0.6,0.326926926926927,0.297497497497497,571.487386226654
400,0.6,0.359343737494998,0.32953181272509,624.640153169632
450,0.6,0.385877175435087,0.353670734146829,679.124078512192
500,0.6,0.4238,0.391,744.289808988571
550,0.6,0.4646,0.4154,798.462664842606
