"datagen.params.rho","tau.min","tau.max","elapsed.secs"
0,-0.00120310662052058,0.00179985664089664,150.33793759346
0.05,0.0316454162092701,0.0360135714256239,149.055256843567
0.1,0.0658486072041088,0.0724042647276962,150.545870542526
0.15,0.101633597164611,0.110456352628044,150.773773670197
0.2,0.139124213096004,0.149901675813111,148.878547906876
0.25,0.178305983955576,0.190952966429814,147.119791269302
0.3,0.219245740863635,0.233429400055843,150.018558740616
0.35,0.261940564681869,0.277399505781721,149.957208395004
0.4,0.306491954463088,0.323084733982492,149.495050430298
0.45,0.352876417388127,0.370085222541033,149.292836666107
0.5,0.401170882079374,0.418764743585051,151.782379150391
0.55,0.451548003531333,0.469127293217232,150.383937835693
0.6,0.503628386054309,0.521126105812929,148.756345510483
