"datagen.params.rho","tau.min","tau.max","elapsed.secs"
0,-0.00120310662052058,0.00186397239274625,149.648552656174
0.05,-0.00110129508067146,0.0356896676482245,150.321746826172
0.1,-0.00120764339845803,0.0722828923485042,150.794332265854
0.15,-0.00101298494380446,0.110384455689133,150.818074464798
0.2,-0.000257882657301495,0.149829846057543,149.296336650848
0.25,0.000219341752860264,0.190809509294912,152.194205284119
0.3,0.00110810369073132,0.233308663031614,151.841928005219
0.35,0.00304664869211727,0.277303522244335,151.249832630157
0.4,0.00638568158686011,0.322778116725893,148.091708183289
0.45,0.0118326952290268,0.36983798421284,149.501993656158
0.5,0.0204155713033925,0.418589853854049,149.100629091263
0.55,0.0333377648933471,0.468742017453217,148.165554523468
0.6,0.0522676516773494,0.520576997008515,151.338700771332
