"eta","power.diff.eos.means","power.diff.AUC","elapsed.secs"
0,0.5466,0.536,749.844896793365
0.05,0.546709341868374,0.539107821564313,742.549948215485
0.1,0.545309061812362,0.538507701540308,745.840043783188
0.15,0.5478,0.5342,744.767130374908
0.2,0.5542,0.5332,739.798321008682
0.25,0.555911182236447,0.530306061212242,747.516008377075
0.3,0.5568,0.5306,744.546206951141
0.35,0.5552,0.5308,740.824796438217
0.4,0.555311062212443,0.533106621324265,738.395254611969
0.45,0.555,0.5356,740.755741834641
