"datagen.params.rho","tau.min","tau.max","elapsed.secs"
0,-0.00120310662052058,0.00174853491089608,150.426382541656
0.05,-0.00110129508067146,0.0356896676482245,150.458631038666
0.1,-0.00120764339845803,0.0722828923485042,150.828926801682
0.15,-0.00101298494380446,0.110384455689133,151.008574008942
0.2,-0.000257882657301495,0.149829846057543,149.223686695099
0.25,0.000219341752860264,0.190809509294912,150.170248508453
0.3,0.00110810369073132,0.233308663031614,152.109422206879
0.35,0.00304664869211727,0.277303522244335,150.75378370285
0.4,0.00638568158686011,0.322778116725893,151.132474184036
0.45,0.0119795245316748,0.36983798421284,150.769030094147
0.5,0.0207839425569307,0.418589853854049,148.892007827759
0.55,0.0339387978322117,0.468742017453217,150.879899978638
0.6,0.053225719544964,0.520576997008515,149.535679578781
