seq,time.1,time.2,time.3,time.4,time.5,time.6
plus.r,0.5,1.755,1.8,2.7,2.655,1.755
plus.nr.plus,0.5,1.755,1.8,2.7,2.655,1.755
plus.nr.minus,0.5,1.755,1.8,2.7,2.655,1.755
minus.r,0.5,1.755,1.8,2.7,2.655,1.755
minus.nr.plus,0.5,1.755,1.8,2.7,2.655,1.755
minus.nr.minus,0.5,1.755,1.8,2.7,2.655,1.755
