"","datagen.params.N","datagen.params.rho","mean.bias"
"1",201,0.1,0.0656315789473684
"2",201,0.95,0.0717368421052632
"3",502,0.1,0.0273684210526316
"4",502,0.95,0.0317894736842105
"5",2002,0.1,0.00547368421052632
"6",2002,0.95,0.00557894736842105
