"","datagen.params.N","datagen.params.rho","est.bias"
"1",201,0.1,0.007
"2",201,0.95,0.282
"3",502,0.1,0.16
"4",502,0.95,-0.021
"5",2002,0.1,0.005
"6",2002,0.95,-0.019
