"","datagen.params.N","datagen.params.rho","est.bias"
"1",201,0.1,-0.0497417075072178
"2",201,0.95,-0.0443217557436896
"3",502,0.1,-0.0131784016895735
"4",502,0.95,-0.011867874500093
"5",2002,0.1,-0.00642931040590488
"6",2002,0.95,-0.0107557999886663
