"","datagen.params.N","datagen.params.rho","mean.bias"
"1",201,0.1,0.014
"2",201,0.95,-0.0641666666666667
"3",502,0.1,-0.028
"4",502,0.95,0.00216666666666667
"5",2002,0.1,0.0015
"6",2002,0.95,-0.000333333333333333
