"","datagen.params.N","datagen.params.rho","est.bias"
"1",201,0.1,-0.0775665288957612
"2",201,0.95,-0.210368818943516
"3",502,0.1,-0.00365025834708529
"4",502,0.95,-0.0661111524955253
"5",2002,0.1,-0.0144842284834271
"6",2002,0.95,-0.0411374225302442
