"seq","time.1","time.2","time.3","time.4","time.5","time.6"
"plus.r",2.5,4.8,3.692,3.834,3.905,4.48
"plus.nr.plus",2.5,4.8,3.692,3.834,3.905,4.48
"plus.nr.minus",2.5,4.8,3.692,3.834,3.905,4.48
"minus.r",2.5,4.8,2.6,2.7,2.75,2.8
"minus.nr.plus",2.5,4.8,2.6,2.7,2.75,2.8
"minus.nr.minus",2.5,4.8,2.6,2.7,2.75,2.8
