"eta","power.diff.eos.means","power.diff.AUC","elapsed.secs"
0,0.933,0.9402,747.570502281189
0.05,0.932386477295459,0.941988397679536,743.191412448883
0.1,0.932186437287458,0.940188037607521,742.554286241531
0.15,0.9328,0.9412,741.481750249863
0.2,0.9334,0.9424,745.713895320892
0.25,0.933386677335467,0.941188237647529,745.332890510559
0.3,0.9328,0.9414,746.710920810699
0.35,0.9314,0.9402,740.972870349884
0.4,0.931786357271454,0.939587917583517,741.034962654114
0.45,0.9304,0.9392,743.486683130264
