"datagen.params.rho","tau.min","tau.max","elapsed.secs"
0,-0.00120310662052058,0.00191086367661383,149.074598073959
0.05,-0.00110129508067146,0.0356896676482245,150.111605644226
0.1,-0.00120764339845803,0.0722828923485042,149.266162872314
0.15,-0.00101298494380446,0.110384455689133,150.719158172607
0.2,-0.000257882657301495,0.149829846057543,149.706595420837
0.25,0.000219341752860264,0.190809509294912,149.729331970215
0.3,0.00110810369073132,0.233308663031614,149.55760383606
0.35,0.00304153263281303,0.277303522244335,149.917330741882
0.4,0.00629763249827434,0.322778116725893,149.042481660843
0.45,0.0115911808696718,0.36983798421284,148.663310527802
0.5,0.02001256234,0.418589853854049,149.119812011719
0.55,0.0326971356651005,0.468742017453217,150.057178020477
0.6,0.0513314755742543,0.520576997008515,150.885293960571
