"","seq","time.1","time.2","time.3","time.4","time.5","time.6"
"1","plus.r",1.91707279092332,2.97596290558828,2.78123385804862,2.84057274840345,2.86932045552703,3.1346112732261
"2","plus.nr.plus",1.91707279092332,2.97596290558828,2.78123385804862,2.84057274840345,2.86932045552703,3.1346112732261
"3","plus.nr.minus",1.91707279092332,2.97596290558828,2.78123385804862,2.84057274840345,2.86932045552703,3.1346112732261
"4","minus.r",1.91707279092332,2.97596290558828,1.98379083545431,2.04756760028007,2.07842923929725,2.10864339347109
"5","minus.nr.plus",1.91707279092332,2.97596290558828,1.98379083545431,2.04756760028007,2.07842923929725,2.10864339347109
"6","minus.nr.minus",1.91707279092332,2.97596290558828,1.98379083545431,2.04756760028007,2.07842923929725,2.10864339347109
