"datagen.params.rho","tau.min","tau.max","elapsed.secs"
0,-0.00120310662052058,0.00190075530865322,147.653629779816
0.05,0.0308664953745518,0.0360135714256239,149.701112747192
0.1,0.0640309739478666,0.0724042647276962,148.916682004929
0.15,0.0990330693384281,0.110456352628044,148.224022388458
0.2,0.135796863673748,0.149901675813111,148.124522924423
0.25,0.174336027508152,0.190952966429814,147.925371646881
0.3,0.214729960582583,0.233429400055843,151.020263671875
0.35,0.256997755493149,0.277399505781721,148.800203084946
0.4,0.301186951202952,0.323084733982492,148.386798858643
0.45,0.347293706420976,0.370085222541033,149.247319221497
0.5,0.395517953426879,0.418764743585051,150.589282512665
0.55,0.445692291019268,0.469127293217232,147.488012552261
0.6,0.498030941574217,0.521126105812929,147.985556364059
