"N","rho","power.diff.eos.means","power.diff.AUC","elapsed.secs"
100,0.2,0.192430917100521,0.307168602322787,279.330344676971
150,0.2,0.27125425085017,0.404480896179236,335.076547622681
200,0.2,0.385108086469175,0.52582065652522,399.53170800209
250,0.2,0.4544,0.5896,456.906429767609
300,0.2,0.5278,0.6616,507.623220920563
350,0.2,0.615415415415415,0.73033033033033,570.436079502106
400,0.2,0.684,0.7952,620.967514038086
450,0.2,0.71754350870174,0.827365473094619,680.860262155533
500,0.2,0.769,0.8742,737.249948740005
550,0.2,0.815,0.8934,803.558568239212
100,0.4,0.190228273928714,0.259711653984782,281.606897354126
150,0.4,0.265706282513005,0.337935174069628,340.63797545433
200,0.4,0.381428857314389,0.448068841304783,403.222198963165
250,0.4,0.4536,0.4978,455.730189085007
300,0.4,0.529705941188238,0.576715343068614,513.450212717056
350,0.4,0.615769461677006,0.643386031618971,575.934247493744
400,0.4,0.6852,0.7116,624.700223684311
450,0.4,0.716086434573829,0.745498199279712,687.533507347107
500,0.4,0.7668,0.8004,740.369640350342
550,0.4,0.811524609843938,0.823729491796719,800.281525850296
100,0.6,0.197278911564626,0.239495798319328,279.116755008698
150,0.6,0.275765459275565,0.31138683209926,337.259196281433
200,0.6,0.385554221688675,0.412565026010404,397.644332170486
250,0.6,0.4662,0.465,463.516755104065
300,0.6,0.5418,0.5378,514.03173494339
350,0.6,0.627576545927557,0.611366820092055,572.855445384979
400,0.6,0.696478591436575,0.679871948779512,620.629145383835
450,0.6,0.728545709141828,0.711142228445689,680.130862474442
500,0.6,0.7794,0.762,732.38002538681
550,0.6,0.821,0.796,798.115842819214
