"eta","power.diff.eos.means","power.diff.AUC","elapsed.secs"
0,0.0752,0.0746,751.876574754715
0.05,0.0756151230246049,0.0746149229845969,745.85068154335
0.1,0.0740148029605921,0.0754150830166033,744.333067655563
0.15,0.0722,0.075,747.818828582764
0.2,0.0732,0.074,744.135486125946
0.25,0.0722288915566227,0.0744297719087635,749.594609975815
0.3,0.0730146029205841,0.0734146829365873,751.970329046249
0.35,0.076,0.0746,744.896592617035
0.4,0.0762152430486097,0.0746149229845969,754.971234560013
0.45,0.0774,0.0786,749.578613519669
