"N","rho","power.diff.eos.means","power.diff.AUC","elapsed.secs"
100,0.2,0.25005005005005,0.414814814814815,278.226212739944
150,0.2,0.363672734546909,0.548509701940388,335.612555265427
200,0.2,0.502001601281025,0.673939151321057,396.693974018097
250,0.2,0.5946,0.7606,452.718125343323
300,0.2,0.6788,0.8302,505.247690200806
350,0.2,0.765365365365365,0.877077077077077,572.251489400864
400,0.2,0.8252,0.9248,620.657511234283
450,0.2,0.852570514102821,0.945189037807561,680.97075009346
500,0.2,0.8934,0.9642,726.350323200226
550,0.2,0.922,0.9734,793.875686168671
100,0.4,0.250500600720865,0.342611133360032,280.452766180038
150,0.4,0.367620572343406,0.461076645987593,336.564393997192
200,0.4,0.504302581548929,0.587352411446868,392.472503662109
250,0.4,0.5918,0.6622,452.528790712357
300,0.4,0.678335667133427,0.736547309461892,502.044939279556
350,0.4,0.760856513908345,0.806684010406244,568.807346820831
400,0.4,0.825,0.8668,623.353052616119
450,0.4,0.853170634126825,0.892178435687137,683.463489532471
500,0.4,0.898,0.9258,729.661026716232
550,0.4,0.923969587835134,0.940576230492197,791.746271848679
100,0.6,0.262652530506101,0.318263652730546,282.601906061172
150,0.6,0.37342405443266,0.419851911146688,338.213649749756
200,0.6,0.517406962785114,0.54421768707483,396.877550363541
250,0.6,0.6032,0.621,456.981790781021
300,0.6,0.696,0.7024,505.457736968994
350,0.6,0.775865519311587,0.770262157294377,568.585748910904
400,0.6,0.837935174069628,0.835334133653461,618.718350887299
450,0.6,0.865173034606921,0.867573514702941,676.129118204117
500,0.6,0.9048,0.909,734.423559904099
550,0.6,0.93,0.9188,794.837616682053
