"seq","time.1","time.2","time.3","time.4","time.5","time.6"
"plus.r",2.5,4.8,2.964,3.078,3.135,3.36
"plus.nr.plus",2.5,4.8,2.964,3.078,3.135,3.36
"plus.nr.minus",2.5,4.8,2.964,3.078,3.135,3.36
"minus.r",2.5,4.8,2.6,2.7,2.75,2.8
"minus.nr.plus",2.5,4.8,2.6,2.7,2.75,2.8
"minus.nr.minus",2.5,4.8,2.6,2.7,2.75,2.8
