seq,time.1,time.2,time.3,time.4,time.5,time.6
plus.r,0.5,1.95,3.6,5.4,5.31,3.51
plus.nr.plus,0.5,1.95,3.6,5.4,5.31,3.51
plus.nr.minus,0.5,1.95,3.6,5.4,5.31,3.51
minus.r,0.5,1.95,2,3,2.95,1.95
minus.nr.plus,0.5,1.95,2,3,2.95,1.95
minus.nr.minus,0.5,1.95,2,3,2.95,1.95
