seq,time.1,time.2,time.3,time.4,time.5,time.6
plus.r,0.65,0.6,0.58,0.56,0.54,0.52
plus.nr.plus,0.65,0.6,0.58,0.56,0.54,0.52
plus.nr.minus,0.65,0.6,0.58,0.56,0.54,0.52
minus.r,0.65,0.62,0.6,0.58,0.56,0.54
minus.nr.plus,0.65,0.62,0.6,0.58,0.56,0.54
minus.nr.minus,0.65,0.62,0.6,0.58,0.56,0.54
