"eta","power.diff.eos.means","power.diff.AUC","elapsed.secs"
0,0.4132,0.3908,741.487196922302
0.05,0.411482296459292,0.391478295659132,744.286046743393
0.1,0.412882576515303,0.392878575715143,742.199494838715
0.15,0.418,0.392,750.06293129921
0.2,0.4172,0.3914,742.849901676178
0.25,0.41748349669934,0.394278855771154,744.327646493912
0.3,0.4172,0.3934,744.730408191681
0.35,0.417683536707341,0.393878775755151,748.437325000763
0.4,0.421684336867373,0.392278455691138,741.170041561127
0.45,0.4206,0.3944,744.955851554871
