"datagen.params.rho","tau.min","tau.max","elapsed.secs"
0,-0.00120310662052058,0.00179985664089664,150.80504655838
0.05,-0.00110129508067146,0.0356896676482245,149.86256313324
0.1,-0.00120764339845803,0.0722828923485042,149.313815832138
0.15,-0.00101298494380446,0.110384455689133,148.720739603043
0.2,-0.000257882657301495,0.149829846057543,149.492431163788
0.25,0.000219341752860264,0.190809509294912,150.587905883789
0.3,0.00110810369073132,0.233308663031614,148.041696548462
0.35,0.00304664869211727,0.277303522244335,148.392693519592
0.4,0.00638568158686011,0.322778116725893,150.397132396698
0.45,0.0119025639661317,0.36983798421284,150.285943984985
0.5,0.0205322103768372,0.418589853854049,150.400715827942
0.55,0.0335309238034493,0.468742017453217,151.698983669281
0.6,0.0525609797559819,0.520576997008515,150.354533433914
