"N","rho","power.diff.eos.means","power.diff.AUC","elapsed.secs"
100,0.2,0.0864864864864865,0.142742742742743,281.55744433403
150,0.2,0.108621724344869,0.161832366473295,337.726696014404
200,0.2,0.135108086469175,0.19995996797438,401.369563102722
250,0.2,0.164,0.2026,457.099461317062
300,0.2,0.184510706423854,0.240144086451871,513.497490167618
350,0.2,0.213370696557246,0.271016813450761,577.161794424057
400,0.2,0.2338,0.314,632.380372047424
450,0.2,0.2504,0.3204,691.755004167557
500,0.2,0.2762,0.354,750.894967317581
550,0.2,0.309723889555822,0.383353341336535,796.092180728912
100,0.4,0.0854683746997598,0.125100080064051,288.205182552338
150,0.4,0.10844337735094,0.138255302120848,343.325339078903
200,0.4,0.134907926341073,0.16533226581265,402.913029909134
250,0.4,0.162032406481296,0.170434086817363,461.678396463394
300,0.4,0.1842,0.1986,512.77818107605
350,0.4,0.209525715429258,0.229937962777667,577.241455554962
400,0.4,0.2294,0.2676,624.117579936981
450,0.4,0.2506,0.2764,693.411789655685
500,0.4,0.274,0.3018,739.712844371796
550,0.4,0.308061612322464,0.316863372674535,801.127479076385
100,0.6,0.0906725380304243,0.112489991993595,285.693434715271
150,0.6,0.106106106106106,0.121721721721722,336.230534076691
200,0.6,0.134680808485091,0.144286571943166,402.019344091415
250,0.6,0.16003200640128,0.147229445889178,459.235602617264
300,0.6,0.178871548619448,0.169867947178872,509.262193441391
350,0.6,0.208725235141085,0.202121272763658,577.062542676926
400,0.6,0.23124624924985,0.224444888977796,627.846048355103
450,0.6,0.249699879951981,0.237695078031212,687.482354879379
500,0.6,0.277,0.2604,742.765243291855
550,0.6,0.3088,0.2746,814.96956038475
