"datagen.params.rho","tau.min","tau.max","elapsed.secs"
0,-0.00120310662052058,0.00182421062227712,150.456408500671
0.05,-0.00110129508067146,0.0356896676482245,149.13772726059
0.1,-0.00120764339845803,0.0722828923485042,151.344094276428
0.15,-0.00101298494380446,0.110384455689133,149.012462615967
0.2,-0.000257882657301495,0.149829846057543,149.999158620834
0.25,0.000219341752860264,0.190809509294912,149.86390209198
0.3,0.00110810369073132,0.233308663031614,151.101746797562
0.35,0.00304664869211727,0.277303522244335,150.315199136734
0.4,0.00638568158686011,0.322778116725893,151.00231552124
0.45,0.0119697860742553,0.36983798421284,149.689882516861
0.5,0.0206822148025569,0.418589853854049,148.160891771317
0.55,0.0337369553284365,0.468742017453217,151.557718276978
0.6,0.0528890598023833,0.520576997008515,149.208388328552
