"N","rho","power.diff.eos.means","power.diff.AUC","elapsed.secs"
100,0.2,0.281281281281281,0.467267267267267,277.076724529266
150,0.2,0.407281456291258,0.6125225045009,333.561178922653
200,0.2,0.551441152922338,0.743795036028823,393.853253602982
250,0.2,0.6512,0.8296,454.897560834885
300,0.2,0.7406,0.8834,506.824239492416
350,0.2,0.817417417417417,0.922522522522523,569.474442958832
400,0.2,0.8736,0.9604,621.793866872787
450,0.2,0.895379075815163,0.973394678935787,678.494637489319
500,0.2,0.9322,0.9828,739.555803775787
550,0.2,0.9512,0.9876,799.918280124664
100,0.4,0.279791708391748,0.386541157620669,278.231060266495
150,0.4,0.411164465786315,0.52280912364946,333.203421354294
200,0.4,0.554932959775866,0.650990594356614,393.863402605057
250,0.4,0.6524,0.737,450.982839107513
300,0.4,0.743148629725945,0.808561712342469,507.785192489624
350,0.4,0.81949169501701,0.862117270362217,565.07803940773
400,0.4,0.8728,0.9098,620.517518758774
450,0.4,0.896779355871174,0.93498699739948,684.35499382019
500,0.4,0.934,0.9574,736.465723991394
550,0.4,0.95078031212485,0.9671868747499,795.227130889893
100,0.6,0.293458691738348,0.353270654130826,276.320564508438
150,0.6,0.426255753452071,0.47768661196718,336.291701316833
200,0.6,0.567540524314589,0.612367420452271,394.413441419601
250,0.6,0.6602,0.6924,451.304398775101
300,0.6,0.7522,0.7766,506.503364086151
350,0.6,0.824094456674004,0.832099259555733,566.744313955307
400,0.6,0.881952781112445,0.887154861944778,620.757390022278
450,0.6,0.907381476295259,0.915383076615323,678.333530664444
500,0.6,0.9412,0.9408,738.692635297775
550,0.6,0.957,0.9538,789.036041021347
