"eta","power.diff.eos.means","power.diff.AUC","elapsed.secs"
0,0.6662,0.6624,750.621410369873
0.05,0.669333866773355,0.661532306461292,743.194752931595
0.1,0.668533706741348,0.662932586517303,744.449348211288
0.15,0.6696,0.6646,749.675811767578
0.2,0.6718,0.6642,750.118638038635
0.25,0.673134626925385,0.66373274654931,745.262967348099
0.3,0.6724,0.6634,746.217145442963
0.35,0.6714,0.6642,743.174596786499
0.4,0.673334666933387,0.663532706541308,749.096330165863
0.45,0.6762,0.6608,737.625080108643
