"datagen.params.rho","tau.min","tau.max","elapsed.secs"
0,-0.00120310662052058,0.00191086367661383,150.810068845749
0.05,-0.00110129508067146,0.0356896676482245,147.56472325325
0.1,-0.00120764339845803,0.0722828923485042,150.523059368134
0.15,-0.00101298494380446,0.110384455689133,150.215798854828
0.2,-0.000257882657301495,0.149829846057543,151.01629281044
0.25,0.000219341752860264,0.190809509294912,148.782086610794
0.3,0.00110810369073132,0.233308663031614,149.252969503403
0.35,0.00304153263281303,0.277303522244335,150.106820344925
0.4,0.00629763249827434,0.322778116725893,149.684120416641
0.45,0.0115911808696718,0.36983798421284,150.539962530136
0.5,0.02001256234,0.418589853854049,150.329312086105
0.55,0.0326971356651005,0.468742017453217,151.280237436295
0.6,0.0513314755742543,0.520576997008515,151.400180578232
