"seq","time.1","time.2","time.3","time.4","time.5","time.6"
"plus.r",0.635416666666667,0.645833333333333,0.712121212121212,0.742424242424242,0.712121212121212,0.696969696969697
"plus.nr.plus",0.635416666666667,0.645833333333333,0.357142857142857,0.5,0.5,0.5
"plus.nr.minus",0.635416666666667,0.645833333333333,0.5625,0.625,0.625,0.4375
"minus.r",0.635416666666667,0.614583333333333,0.682539682539683,0.888888888888889,0.825396825396825,0.825396825396825
"minus.nr.plus",0.635416666666667,0.614583333333333,0.428571428571429,0.571428571428571,0.642857142857143,0.642857142857143
"minus.nr.minus",0.635416666666667,0.614583333333333,0.526315789473684,0.631578947368421,0.631578947368421,0.526315789473684
