"datagen.params.N","datagen.params.rho","delta","pair"
1000,0.9,0.0779191305179175,1
1000,0.9,0.259215502733186,2
1000,0.9,0.309111290989397,3
1000,0.9,0.244983707155,4
1000,0.9,0.287077266430663,5
1000,0.9,0.0441250980817983,6
