"datagen.params.rho","tau.min","tau.max","elapsed.secs"
0,-0.00120310662052058,0.00182682897950247,151.907815694809
0.05,0.0327705614198465,0.0360135714256239,147.660458803177
0.1,0.0682389072010522,0.0724042647276962,146.773134231567
0.15,0.105011110813689,0.110456352628044,148.421757698059
0.2,0.143495566018146,0.149901675813111,147.661081314087
0.25,0.183384139152301,0.190952966429814,148.786015987396
0.3,0.225078728004019,0.233429400055843,148.378526687622
0.35,0.268341065796826,0.277399505781721,150.588918924332
0.4,0.313410012822132,0.323084733982492,147.268823623657
0.45,0.360067899155746,0.370085222541033,150.125269889832
0.5,0.408536798850475,0.418764743585051,149.254168510437
0.55,0.458815685329442,0.469127293217232,150.590421438217
0.6,0.510905635259064,0.521126105812929,150.22234916687
