"N","rho","power.diff.eos.means","power.diff.AUC","elapsed.secs"
100,0.2,0.0578926282051282,0.0893429487179487,276.555022954941
150,0.2,0.0646258503401361,0.0830332132853141,323.224673748016
200,0.2,0.0602602602602603,0.0814814814814815,388.440718412399
250,0.2,0.0696,0.0722,447.495078325272
300,0.2,0.0690138027605521,0.0822164432886577,506.097543001175
350,0.2,0.0769230769230769,0.0821314102564103,577.276469945908
400,0.2,0.073,0.0878,626.767682313919
450,0.2,0.0752150430086017,0.0844168833766753,686.155002355576
500,0.2,0.0786,0.0806,751.321781873703
550,0.2,0.083,0.0946,807.042326450348
100,0.4,0.0610855197276187,0.0853194472261166,285.524958372116
150,0.4,0.0604604604604605,0.0786786786786787,343.531577348709
200,0.4,0.0638510808646918,0.0788630904723779,407.254106760025
250,0.4,0.0678135627125425,0.0682136427285457,461.988358020782
300,0.4,0.0678135627125425,0.0764152830566113,520.339991807938
350,0.4,0.0786786786786787,0.0768768768768769,579.86758351326
400,0.4,0.074,0.0822,633.800294399261
450,0.4,0.0748299319727891,0.0782312925170068,688.341302633286
500,0.4,0.0772154430886177,0.0766153230646129,745.561195850372
550,0.4,0.0864518711226736,0.0888533119871923,789.265250444412
100,0.6,0.0642385431258755,0.0852511506904143,286.438500642776
150,0.6,0.0662397438463078,0.0744446668000801,342.770697593689
200,0.6,0.0668401040624375,0.0792475485291175,403.434388875961
250,0.6,0.068,0.0674,457.91655421257
300,0.6,0.0692415449269562,0.0742445467280368,511.964721679688
350,0.6,0.0784784784784785,0.0770770770770771,573.986030578613
400,0.6,0.0748299319727891,0.0798319327731092,624.718206644058
450,0.6,0.0748149629925985,0.0778155631126225,683.158551454544
500,0.6,0.0786,0.0726,746.87278842926
550,0.6,0.0848,0.0864,808.324067115784
