"N","rho","power.diff.eos.means","power.diff.AUC","elapsed.secs"
100,0.2,0.0576461168935148,0.088470776621297,280.879960775375
150,0.2,0.063625450180072,0.0810324129651861,336.681659698486
200,0.2,0.0590354212527517,0.081448869321593,401.838129043579
250,0.2,0.0664,0.078,453.214165210724
300,0.2,0.0648259303721489,0.0840336134453782,505.102844238281
350,0.2,0.0748598879103283,0.0852682145716573,568.308726072311
400,0.2,0.0732,0.0902,620.189471960068
450,0.2,0.075,0.0898,683.619218826294
500,0.2,0.0726,0.0852,754.092150211334
550,0.2,0.0814325730292117,0.0998399359743898,810.755452871323
100,0.4,0.0606728073688426,0.0820985182218662,287.867537498474
150,0.4,0.0632379427656594,0.0776465879527717,336.804218053818
200,0.4,0.0568341004602762,0.0786471883129878,399.223924636841
250,0.4,0.0656,0.0702,459.046362161636
300,0.4,0.0686274509803922,0.078031212484994,516.134623765945
350,0.4,0.0754150830166033,0.0770154030806161,573.337033748627
400,0.4,0.0764,0.0842,630.293902873993
450,0.4,0.0778,0.0802,687.104781389236
500,0.4,0.0724,0.079,740.896298408508
550,0.4,0.0838335334133653,0.0886354541816727,815.569801092148
100,0.6,0.0572687224669604,0.0758910692831398,283.060552597046
150,0.6,0.0600480384307446,0.071857485988791,339.798786878586
200,0.6,0.0586351811086652,0.0720432259355613,394.955636739731
250,0.6,0.0660264105642257,0.0684273709483793,458.621012449265
300,0.6,0.0692138427685537,0.0714142828565713,507.406461954117
350,0.6,0.0776776776776777,0.0744744744744745,574.242374897003
400,0.6,0.0772154430886177,0.0786157231446289,624.341783761978
450,0.6,0.0742296918767507,0.0728291316526611,688.730627536774
500,0.6,0.0730146029205841,0.0734146829365873,752.20763874054
550,0.6,0.0846,0.0864,806.502918720245
