"datagen.params.rho","tau.min","tau.max","elapsed.secs"
0,-0.00120310662052058,0.00182682897950247,149.633307695389
0.05,-0.00110129508067146,0.0359669509757478,151.392800807953
0.1,-0.00120764339845803,0.0722828923485042,149.891304254532
0.15,-0.00101298494380446,0.110384455689133,148.049989700317
0.2,-0.000257882657301495,0.149829846057543,150.251087188721
0.25,0.000219341752860264,0.190809509294912,151.714156627655
0.3,0.00110810369073132,0.233308663031614,149.944245815277
0.35,0.00304664869211727,0.277303522244335,151.394520759583
0.4,0.00638568158686011,0.322778116725893,150.14498090744
0.45,0.0119795245316748,0.36983798421284,149.1291410923
0.5,0.0208643490971299,0.418589853854049,149.495548248291
0.55,0.0341817741482646,0.468742017453217,150.317187786102
0.6,0.0535593158994901,0.520576997008515,151.268848896027
