"","seq","time.1","time.2","time.3","time.4","time.5","time.6"
"1","plus.r",1.91707279092332,2.97596290558828,2.30191215459475,2.36376661132324,2.39371312461199,2.5390550534905
"2","plus.nr.plus",1.91707279092332,2.97596290558828,2.30191215459475,2.36376661132324,2.39371312461199,2.5390550534905
"3","plus.nr.minus",1.91707279092332,2.97596290558828,2.30191215459475,2.36376661132324,2.39371312461199,2.5390550534905
"4","minus.r",1.91707279092332,2.97596290558828,1.98379083545431,2.04756760028007,2.07842923929725,2.10864339347109
"5","minus.nr.plus",1.91707279092332,2.97596290558828,1.98379083545431,2.04756760028007,2.07842923929725,2.10864339347109
"6","minus.nr.minus",1.91707279092332,2.97596290558828,1.98379083545431,2.04756760028007,2.07842923929725,2.10864339347109
