"N","rho","power.diff.eos.means","power.diff.AUC","elapsed.secs"
100,0.2,0.0855026031237485,0.137364837805366,277.435967445374
150,0.2,0.107643057222889,0.147258903561425,338.693216323853
200,0.2,0.130104083266613,0.180544435548439,400.753373384476
250,0.2,0.161,0.187,458.984555721283
300,0.2,0.181636327265453,0.220444088817764,514.031870365143
350,0.2,0.217417417417417,0.247647647647648,576.38058590889
400,0.2,0.2348,0.2794,623.522037267685
450,0.2,0.250050010002,0.294258851770354,687.10547709465
500,0.2,0.2726,0.3154,742.348900556564
550,0.2,0.3108,0.3428,799.140600442886
100,0.4,0.0881586856341414,0.12582648767782,283.362303972244
150,0.4,0.112067240344207,0.130078046828097,340.874340295792
200,0.4,0.131278767260356,0.155893536121673,398.56077504158
250,0.4,0.156831366273255,0.156031206241248,454.626465559006
300,0.4,0.180872348939576,0.18047218887555,513.04075217247
350,0.4,0.215372297838271,0.213570856685348,569.726178884506
400,0.4,0.2378,0.238,625.217972040176
450,0.4,0.248849769953991,0.249649929985997,682.55434513092
500,0.4,0.2692,0.2646,736.447089195251
550,0.4,0.307322929171669,0.291916766706683,792.370007276535
100,0.6,0.0928742994395516,0.121697357886309,285.00849199295
150,0.6,0.111511511511512,0.122722722722723,339.533268928528
200,0.6,0.135054021608643,0.150860344137655,403.2951836586
250,0.6,0.1628,0.1496,463.198855876923
300,0.6,0.184436887377475,0.171034206841368,516.189759016037
350,0.6,0.220376301040833,0.201761409127302,576.287212610245
400,0.6,0.246498599439776,0.22468987595038,624.310492277145
450,0.6,0.257251450290058,0.239447889577916,678.314843416214
500,0.6,0.2788,0.253,741.125418901443
550,0.6,0.317,0.2758,794.03345823288
