"datagen.params.rho","tau.min","tau.max","elapsed.secs"
0,-0.00120310662052058,0.00182421062227712,150.476499319077
0.05,0.0319624716465729,0.0360135714256239,149.788817167282
0.1,0.0666050925172008,0.0724042647276962,150.127912521362
0.15,0.102667300569044,0.110456352628044,147.819147348404
0.2,0.14045203266517,0.149901675813111,150.619346618652
0.25,0.17984651002815,0.190952966429814,148.649645090103
0.3,0.221009436724095,0.233429400055843,148.215746879578
0.35,0.26384921719432,0.277399505781721,149.005092859268
0.4,0.308587362380441,0.323084733982492,148.92059803009
0.45,0.354987356400759,0.370085222541033,151.770363092422
0.5,0.403452677170729,0.418764743585051,149.506250619888
0.55,0.453714030895806,0.469127293217232,150.822058677673
0.6,0.505802751422805,0.521126105812929,149.483109235764
