"N","rho","power.diff.eos.means","power.diff.AUC","elapsed.secs"
100,0.2,0.285685685685686,0.513913913913914,285.201054573059
150,0.2,0.407081416283257,0.666933386677335,340.1781001091
200,0.2,0.554332599559736,0.797478487092255,397.352450370789
250,0.2,0.654,0.8694,455.898557901382
300,0.2,0.73609443777511,0.915366146458583,515.752924203873
350,0.2,0.818691214728837,0.948769261556934,571.762379646301
400,0.2,0.8742,0.9762,624.269021272659
450,0.2,0.8952,0.9854,687.000888824463
500,0.2,0.9312,0.991,747.252518177032
550,0.2,0.952781112444978,0.994397759103641,807.131018400192
100,0.4,0.277511004401761,0.427771108443377,283.430316925049
150,0.4,0.409363745498199,0.568027210884354,339.676869392395
200,0.4,0.553532119271563,0.703221933159896,397.97996711731
250,0.4,0.6504,0.788,461.834981203079
300,0.4,0.7422,0.8532,512.459953546524
350,0.4,0.814762952590518,0.897379475895179,572.95115685463
400,0.4,0.8722,0.9436,626.391002893448
450,0.4,0.8962,0.9596,678.354987859726
500,0.4,0.9316,0.9722,752.926017999649
550,0.4,0.950990198039608,0.980196039207842,804.671514034271
100,0.6,0.281368821292776,0.353812287372423,284.015129804611
150,0.6,0.407044226535922,0.474284570742445,335.640091180801
200,0.6,0.551020408163265,0.613045218087235,396.793793201447
250,0.6,0.645329065813163,0.69753950790158,455.641572713852
300,0.6,0.741948389677936,0.77875575115023,505.100612163544
350,0.6,0.816289773864319,0.835101060636382,580.745862483978
400,0.6,0.874774954990998,0.893178635727145,622.447004795074
450,0.6,0.899159663865546,0.915766306522609,680.668294906616
500,0.6,0.9328,0.9414,737.516804218292
550,0.6,0.9504,0.9562,802.933605194092
