"datagen.params.rho","tau.min","tau.max","elapsed.secs"
0,-0.00120310662052058,0.00195486768558012,151.721342563629
0.05,-0.00110129508067146,0.0356896676482245,150.332082509995
0.1,-0.00120764339845803,0.0722828923485042,149.09624171257
0.15,-0.00101298494380446,0.110384455689133,151.411231279373
0.2,-0.000257882657301495,0.149829846057543,150.212243795395
0.25,0.000219341752860264,0.190809509294912,150.139809370041
0.3,0.00110810369073132,0.233308663031614,149.705274105072
0.35,0.00302420505580432,0.277303522244335,149.439707040787
0.4,0.00626436688533208,0.322778116725893,151.33816075325
0.45,0.0115590159698926,0.36983798421284,149.663159370422
0.5,0.0199343926100902,0.418589853854049,150.299210786819
0.55,0.0326081284246874,0.468742017453217,149.450124502182
0.6,0.0511324345267311,0.520576997008515,151.18288397789
