"N","rho","power.diff.eos.means","power.diff.AUC","elapsed.secs"
100,0.2,0.131679007404443,0.226736041624975,278.257221460342
150,0.2,0.184836967393479,0.291858371674335,334.41316151619
200,0.2,0.248598879103283,0.381104883907126,395.126396656036
250,0.2,0.2996,0.417,459.164047241211
300,0.2,0.355342136854742,0.48499399759904,508.327719449997
350,0.2,0.428342674139311,0.549839871897518,572.968025445938
400,0.2,0.472,0.6092,621.627947330475
450,0.2,0.5002,0.6414,679.753804445267
500,0.2,0.5518,0.7052,742.048814058304
550,0.2,0.603841536614646,0.739895958383353,803.459008693695
100,0.4,0.138966760112135,0.193231878253905,280.268897533417
150,0.4,0.181472589035614,0.24109643857543,332.47438621521
200,0.4,0.246347808685211,0.320792475485291,398.105551719666
250,0.4,0.2974,0.3454,458.465511083603
300,0.4,0.3532,0.4134,511.890473127365
350,0.4,0.423484696939388,0.470294058811762,572.284598827362
400,0.4,0.4694,0.5318,622.81076836586
450,0.4,0.4998,0.5546,681.583115339279
500,0.4,0.5518,0.6168,741.469928026199
550,0.4,0.600720144028806,0.644128825765153,796.98082447052
100,0.6,0.137482489493696,0.166700020012007,281.804534435272
150,0.6,0.177506503902341,0.203922353412047,335.365181684494
200,0.6,0.247899159663866,0.266906762705082,397.904131412506
250,0.6,0.301860372074415,0.289257851570314,455.897067070007
300,0.6,0.354670934186837,0.347269453890778,504.438874959946
350,0.6,0.42185311186712,0.402041224734841,575.002048969269
400,0.6,0.469493898779756,0.451090218043609,620.387776374817
450,0.6,0.501800720288115,0.478191276510604,683.73247551918
500,0.6,0.5568,0.5306,749.643592119217
550,0.6,0.6066,0.563,792.62130188942
